,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
18,0.031,0.0381,0.0658,0.0252,0.0825,0.04,0.062,0.0603,0.0726,0.1008,0.02244,0.09123,0.01482,0.19365,-0.280459,0.011133,2.023204,148.16192,648.51924,1210.34861,1.18077,116.53,65.07,0.73884862,-4.0283,8.7092,0.9316,2.4141,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.30405,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.35099,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,93
19,0.031,0.0381,0.0658,0.0252,0.0825,0.04,0.062,0.0603,0.0726,0.1008,0.02244,0.09123,0.01482,0.19365,-0.280459,0.011133,2.023204,148.16192,648.51924,1210.34861,1.18077,116.53,65.07,0.73884862,-4.0283,8.7092,0.9316,2.4141,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.30405,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.35099,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,93
20,0.031,0.0381,0.0658,0.0252,0.0825,0.04,0.062,0.0603,0.0726,0.1008,0.02244,0.09123,0.01482,0.19365,-0.280459,0.011133,2.023204,148.16192,648.51924,1210.34861,1.18077,116.53,65.07,0.73884862,-4.0283,8.7092,0.9316,2.4141,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.30405,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.37093,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,0,96
21,0.0678,0.1192,0.2075,0.1623,0.1751,0.1087,0.1051,0.1206,0.1725,0.1833,0.03366,0.20496,0.04583,0.62704,-0.283728,0.074025,1.920348,68.07726,366.69552,598.61907,1.06755,71.87,30.82,0.94105128,-4.2215,9.3754,0.9504,2.2051,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.30405,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.35099,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,96
22,0.0678,0.1192,0.2075,0.1623,0.1751,0.1087,0.1051,0.1206,0.1725,0.1833,0.03366,0.20496,0.04583,0.62704,-0.283728,0.074025,1.920348,68.07726,366.69552,598.61907,1.06755,71.87,30.82,0.94105128,-4.2215,9.3754,0.9504,2.2051,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.30405,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.37093,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,0,98
23,0.0276,0.0322,0.0808,0.0302,0.0747,0.0418,0.0923,0.0545,0.0492,0.0357,0.01954,0.09854,0.01834,0.28785,-0.259945,-0.000609,1.766684,220.26918,931.45005,1900.48286,1.25535,151.19,109.65,0.64489484,-3.4569,8.235,0.7256,3.4035,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.30405,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.37093,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,0,98
24,0.039,0.0462,0.1309,0.0743,0.1017,0.0471,0.0686,0.0672,0.0666,0.0432,0.02661,0.13744,0.04275,0.46184,-0.262058,-0.000219,1.817788,144.17322,658.19852,1251.86105,1.17175,116.1,68.21,0.71182216,-3.2299,7.734,0.6744,3.8096,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.30405,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.37093,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,0,95
25,0.0511,0.0484,0.1143,0.0911,0.0667,0.0413,0.041,0.0345,0.0882,0.0512,0.02247,0.18477,0.04232,0.41303,-0.259492,0.011239,2.073884,144.17322,655.84078,1251.38841,1.16785,119.68,63.97,0.79301954,-3.617,8.2129,0.7965,3.2609,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.30405,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.24913,-0.024384,1.116942,599.65462,1889.67912,4812.0704,1.37093,253.97,275.2,0.45999442,-3.0857,6.5554,0.7262,3.9521,0,98
26,0.089,0.0698,0.0727,0.0411,0.0592,0.0372,0.0443,0.0418,0.1121,0.1229,0.06725,0.18461,0.03956,0.15083,-0.308672,-0.021314,2.491124,154.55712,570.49132,1046.17281,1.14471,110.55,49.21,0.84141944,-3.7045,8.1058,0.8465,3.1413,0.0113,0.0061,0.0196,0.0278,0.1181,0.1183,0.0699,0.0835,0.00449,0.03363,0.02058,0.05809,0.08768,0.35018,0.0619,0.20722,0.0353,0.0189,0.0271,0.0609,0.0864,0.0737,0.3673,0.3681,0.3677,0.2173,0.2599,0.2386,-0.279197,-0.009695,0.204194,192.21118,878.52215,1644.23306,1.30405,143.57,102.45,0.51943863,-3.6004,8.7478,0.7409,2.9661,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.35099,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,93
27,0.089,0.0698,0.0727,0.0411,0.0592,0.0372,0.0443,0.0418,0.1121,0.1229,0.06725,0.18461,0.03956,0.15083,-0.308672,-0.021314,2.491124,154.55712,570.49132,1046.17281,1.14471,110.55,49.21,0.84141944,-3.7045,8.1058,0.8465,3.1413,0.0062,0.0066,0.0171,0.0282,0.1055,0.117,0.047,0.0881,0.004,0.02188,0.01713,0.06006,0.07112,0.37042,0.05352,0.16505,0.0203,0.0215,0.0209,0.0558,0.092,0.0739,0.3441,0.3818,0.363,0.1533,0.2873,0.2203,-0.25869,-0.000446,0.883074,222.23716,983.22336,1862.50441,1.34308,164.62,110.71,0.55902905,-3.1993,11.1194,0.4603,2.2374,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.35099,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,92
