,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
10,0.1222,0.0333,0.0665,0.0453,0.02204,0.30966,0.03005,0.1686,0.4005,0.109,0.2548,0.2181,0.1486,0.1833,-0.242089,-0.003426,0.826519,143.18553,664.91092,1288.72909,1.161016129,98.98,87.22,0.5156,-3.3173,8.3035,0.6626,2.5336,0.0045,0.0096,0.0179,0.0178,0.0201,0.0293,0.1371,0.1189,0.0683,0.0817,0.00842,0.00656,0.01559,0.02596,0.02576,0.02913,0.10441,0.19904,0.07174,0.09915,0.0136,0.0288,0.0212,0.0538,0.0534,0.0536,0.0603,0.0882,0.0742,0.4122,0.3574,0.3848,0.2053,0.2456,0.2255,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,95
11,0.1703,0.0382,0.0649,0.053,0.02264,0.29884,0.03143,0.11379,0.4684,0.105,0.2867,0.1783,0.1458,0.1621,-0.27073,0.016179,1.905578,161.12471,608.67719,1120.68647,1.166577198,111.8,58.65,0.5865,-3.4253,9.8972,0.5927,1.7543,0.0045,0.0096,0.0179,0.0178,0.0201,0.0293,0.1371,0.1189,0.0683,0.0817,0.00842,0.00656,0.01559,0.02596,0.02576,0.02913,0.10441,0.19904,0.07174,0.09915,0.0136,0.0288,0.0212,0.0538,0.0534,0.0536,0.0603,0.0882,0.0742,0.4122,0.3574,0.3848,0.2053,0.2456,0.2255,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,96
12,0.1574,0.0332,0.0642,0.0401,0.01794,0.32377,0.02167,0.13207,0.4456,0.094,0.2698,0.1817,0.1135,0.1476,-0.259616,0.02085,0.764089,172.02229,573.39317,1075.14438,1.129771283,81.23,79.33,0.4644,-3.2232,9.6142,0.5403,2.0567,0.0045,0.0096,0.0179,0.0178,0.0201,0.0293,0.1371,0.1189,0.0683,0.0817,0.00842,0.00656,0.01559,0.02596,0.02576,0.02913,0.10441,0.19904,0.07174,0.09915,0.0136,0.0288,0.0212,0.0538,0.0534,0.0536,0.0603,0.0882,0.0742,0.4122,0.3574,0.3848,0.2053,0.2456,0.2255,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,94
13,0.1354,0.0256,0.0748,0.0329,0.00939,0.35254,0.01208,0.1948,0.388,0.0733,0.2307,0.2144,0.0944,0.1544,-0.239489,0.043522,0.655736,135.20656,693.36893,1333.49764,1.183455916,62.02,132.14,0.38,-2.64,9.4935,0.3671,2.6044,0.0045,0.0096,0.0179,0.0178,0.0201,0.0293,0.1371,0.1189,0.0683,0.0817,0.00842,0.00656,0.01559,0.02596,0.02576,0.02913,0.10441,0.19904,0.07174,0.09915,0.0136,0.0288,0.0212,0.0538,0.0534,0.0536,0.0603,0.0882,0.0742,0.4122,0.3574,0.3848,0.2053,0.2456,0.2255,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,96
14,0.0368,0.0323,0.034,0.0428,0.01782,0.07885,0.0236,0.07297,0.0985,0.0866,0.0925,0.0911,0.1147,0.1029,-0.256414,0.027075,1.159543,139.21811,654.81501,1229.72582,1.179674813,88.67,94.7,0.4965,-3.3463,10.1647,0.5508,2.1438,0.0045,0.0096,0.0179,0.0178,0.0201,0.0293,0.1371,0.1189,0.0683,0.0817,0.00842,0.00656,0.01559,0.02596,0.02576,0.02913,0.10441,0.19904,0.07174,0.09915,0.0136,0.0288,0.0212,0.0538,0.0534,0.0536,0.0603,0.0882,0.0742,0.4122,0.3574,0.3848,0.2053,0.2456,0.2255,-0.281856,-0.012491,0.15195,192.2116,870.21851,1642.90664,1.292415831,123.72,119.97,0.457,-3.9871,9.0524,0.8781,1.4515,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,96
15,0.1678,0.0351,0.0721,0.0478,0.01498,0.37808,0.0204,0.16234,0.4567,0.0955,0.2761,0.1961,0.13,0.1631,-0.252408,0.034954,0.696914,93.1267,496.2236,888.48727,1.110262873,69.22,69.73,0.5131,-2.9224,9.9982,0.4271,2.2528,0.0039,0.0097,0.0147,0.0178,0.0176,0.0291,0.1099,0.1167,0.038,0.0865,0.00725,0.00788,0.01326,0.02981,0.02174,0.0356,0.08719,0.22277,0.06461,0.07701,0.0123,0.0307,0.0215,0.0465,0.0562,0.0513,0.0555,0.0921,0.0738,0.3476,0.3693,0.3585,0.1202,0.2737,0.1969,-0.260685,-0.003921,0.652282,222.23762,974.94228,1861.92153,1.332050013,147.96,125.05,0.4868,-3.5843,8.6006,0.7469,2.0276,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,96
16,0.1678,0.0351,0.0721,0.0478,0.01498,0.37808,0.0204,0.16234,0.4567,0.0955,0.2761,0.1961,0.13,0.1631,-0.252408,0.034954,0.696914,93.1267,496.2236,888.48727,1.110262873,69.22,69.73,0.5131,-2.9224,9.9982,0.4271,2.2528,0.0043,0.0116,0.0177,0.0209,0.0203,0.0344,0.1329,0.1368,0.0509,0.1057,0.00873,0.00817,0.01567,0.03338,0.0258,0.03816,0.10256,0.25014,0.07924,0.09582,0.0131,0.0351,0.0241,0.0535,0.0629,0.0582,0.0611,0.1037,0.0824,0.4005,0.4121,0.4063,0.1534,0.3184,0.2359,-0.266049,-0.003261,0.343274,182.17365,806.26148,1472.37226,1.288190333,117.71,108.07,0.4859,-3.6803,9.0317,0.7498,1.8816,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,90
17,0.1678,0.0351,0.0721,0.0478,0.01498,0.37808,0.0204,0.16234,0.4567,0.0955,0.2761,0.1961,0.13,0.1631,-0.252408,0.034954,0.696914,93.1267,496.2236,888.48727,1.110262873,69.22,69.73,0.5131,-2.9224,9.9982,0.4271,2.2528,0.0042,0.0092,0.0158,0.0167,0.0191,0.0284,0.1276,0.1155,0.0585,0.077,0.00801,0.00617,0.0145,0.02349,0.02467,0.02838,0.10027,0.18914,0.06685,0.08673,0.0126,0.0279,0.0203,0.048,0.0506,0.0493,0.058,0.086,0.072,0.3864,0.3498,0.3681,0.1772,0.2332,0.2052,-0.280732,-0.010885,0.608415,222.23762,967.19056,1861.11532,1.321840544,128.95,141.89,0.4486,-3.9501,8.9866,0.8681,1.4821,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,74
18,0.1678,0.0351,0.0721,0.0478,0.01498,0.37808,0.0204,0.16234,0.4567,0.0955,0.2761,0.1961,0.13,0.1631,-0.252408,0.034954,0.696914,93.1267,496.2236,888.48727,1.110262873,69.22,69.73,0.5131,-2.9224,9.9982,0.4271,2.2528,0.0065,0.0219,0.0291,0.0299,0.0269,0.049,0.2158,0.1684,0.1927,0.1798,0.01259,0.0035,0.01722,0.01575,0.02819,0.01454,0.09685,0.11676,0.10339,0.10427,0.0151,0.051,0.033,0.0678,0.0698,0.0688,0.0626,0.1143,0.0884,0.5028,0.3925,0.4476,0.449,0.419,0.434,-0.315311,0.042802,0.265466,158.19527,805.31622,1453.06085,1.298055079,67.73,157.78,0.3815,-3.6644,11.6772,0.5749,0.5412,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,92
19,0.1678,0.0351,0.0721,0.0478,0.01498,0.37808,0.0204,0.16234,0.4567,0.0955,0.2761,0.1961,0.13,0.1631,-0.252408,0.034954,0.696914,93.1267,496.2236,888.48727,1.110262873,69.22,69.73,0.5131,-2.9224,9.9982,0.4271,2.2528,0.0096,0.0198,0.0325,0.0364,0.0269,0.0571,0.2284,0.1732,0.2005,0.1928,0.01094,0.00527,0.0201,0.0178,0.03152,0.0147,0.0956,0.12491,0.10645,0.10969,0.022,0.0451,0.0335,0.0741,0.083,0.0785,0.0612,0.1301,0.0957,0.5203,0.3946,0.4575,0.4569,0.4394,0.4482,-0.315096,0.044818,0.274331,130.14204,647.4889,1139.86113,1.227006623,63.71,117.61,0.4256,-3.6311,11.9426,0.552,0.547,-0.253552,-0.025882,0.609726,539.60266,1751.79712,4390.59312,1.350986124,235.24,255.32,0.43529895,-3.2479,6.7136,0.7856,3.7559,0,95
