Substrates,Allylic Substrates,Additive,Catalysts,Chirality,base,b:l,Yield_ori,ee,doi,Yield
O=C1NC(C2=CC=CC=C21)=O,O=C(OC/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,1,,79\21,58,98,10.1055/s-0028-1083168,45.82
O=C1NC(C2=CC=CC=C21)=O,O=C(OC/C=C/COC(C1=CC=CC=C1)(C2=CC=CC=C2)C3=CC=CC=C3)OC,,CC(N(P1OC2=C(C3=CC=CC=C3C=C2)C4=C5C=CC=CC5=CC=C4O1)C(C6=C7C(C=CC=C7)=CC=C6)C)C8=CC=CC9=C8C=CC=C9,1,,55\45,91,93,10.1055/s-0028-1083169,50.05
O=CNC(OC(C)(C)C)=O,OC/C=C/COC(OC)=O,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,1,,,42,81,10.1055/s-0028-1083170,42
O=CNC(OC(C)(C)C)=O,OC/C=C/COC(OC)=O,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,1,,,73,93,10.1055/s-0028-1083171,73
O=CNC(OC(C)(C)C)=O,OC/C=C/COC(OC)=O,,CC(N(P1OC2=C(C3=CC=CC=C3C=C2)C4=C5C=CC=CC5=CC=C4O1)C(C6=C7C(C=CC=C7)=CC=C6)C)C8=CC=CC9=C8C=CC=C9,1,,,65,95,10.1055/s-0028-1083172,65
[Na]N(C(OC(C)(C)C)=O)C(OC(C)(C)C)=O,OC/C=C/COC(OC)=O,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,1,,,18,80,10.1055/s-0028-1083173,18
[Na]N(C(OC(C)(C)C)=O)C(OC(C)(C)C)=O,OC/C=C/COC(OC)=O,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,1,,,75,89,10.1055/s-0028-1083174,75
[Na]N(C(OC(C)(C)C)=O)C(OC(C)(C)C)=O,OC/C=C/COC(OC)=O,,CC(N(P1OC2=C(C3=CC=CC=C3C=C2)C4=C5C=CC=CC5=CC=C4O1)C(C6=C7C(C=CC=C7)=CC=C6)C)C8=CC=CC9=C8C=CC=C9,1,,,68,93,10.1055/s-0028-1083175,68
O=C1NC(C2=CC=CC=C21)=O,OC/C=C/COC(OC)=O,,CC(C1=CC=CC=C1)N(C(C)C2=CC=CC=C2)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,1,,,60,83,10.1055/s-0028-1083176,60
O=C1NC(C2=CC=CC=C21)=O,OC/C=C/COC(OC)=O,,CC(C1=C(OC)C=CC=C1)N(C(C)C2=CC=CC=C2OC)P3OC4=C(C5=C(C=CC=C6)C6=CC=C5O3)C7=CC=CC=C7C=C4,1,,,95,87,10.1055/s-0028-1083177,95
